career,student,graduation,antiquity
13,25153839,2008,1
12,37419146,1977,6
8,26494912,,6
17,26176861,2002,8
2,34612087,,2
14,39446366,1970,6
19,29723695,,7
1,28542118,1994,8
9,25664327,1997,8
4,21578796,,5
20,31204410,,10
8,27621317,,4
2,43841031,,7
11,29253229,,8
18,25921846,,7
14,43211718,1980,4
8,28089005,,6
2,20515511,1964,4
5,25575973,,10
1,29990103,1974,8
16,24832766,1961,8
1,20858300,2004,6
17,26786378,,9
19,22086536,,9
7,31706739,,10
9,26700754,,4
10,33302692,,9
6,22102217,,2
19,38306008,,1
11,31071627,,9
20,24442517,,6
7,33528908,,9
16,35552610,,8
14,27628835,,5
19,38771754,,5
3,29275046,1971,2
8,37928824,,1
5,37160575,,9
8,26582837,2000,5
16,20829722,,4
7,36605337,,6
3,22082683,,5
15,25335935,,3
11,43521696,1977,10
8,29125551,1995,3
20,27950710,,1
7,42912150,,5
9,29631491,,9
15,32711411,,3
10,33972997,1999,1
1,38983598,1977,10
16,25995461,,5
3,23413422,,7
17,20900533,,5
14,36202374,,10
14,25554214,1999,8
18,20953779,,9
7,22214872,,7
5,39232964,,10
16,35018411,1993,4
12,39709851,2007,8
12,43379771,,10
16,42866953,,9
13,44354239,,7
4,21469163,1991,8
20,43537907,,2
14,27625005,1997,9
12,34723273,2003,2
15,28265365,1963,7
9,23416830,,7
2,21972743,1965,6
16,36148825,,9
18,36474742,,6
2,26663290,,5
2,40814159,1966,1
15,24821878,,5
4,39808785,2007,8
3,27407725,1987,1
6,39031306,1981,8
15,44528371,1971,5
12,44022906,,9
5,20952615,,9
7,37339359,,9
13,34636575,2019,1
1,35724351,,4
12,36224280,,10
3,24025361,,7
12,25558773,,5
9,26608999,,2
8,31522444,2016,4
14,31931064,1978,6
19,40565195,,5
16,27380184,,1
1,20943706,,9
9,36517600,2005,6
11,32557704,,3
10,32928180,,10
6,40733691,,7
7,37383735,,3
18,32376440,,1
9,36382259,1994,4
10,32508356,,3
13,36099820,,5
7,37397606,2014,9
8,24828602,1989,6
7,36322838,,7
7,20093407,1970,9
12,37576816,,4
9,44784344,,2
14,40703928,2020,8
12,39328694,,1
2,42981536,,7
7,39743945,,2
2,44992616,,1
1,26025931,,5
14,35648361,,9
3,21710040,1970,2
13,38728590,,5
6,34895685,,1
7,28798966,1960,4
16,41617610,,6
16,21803887,,1
7,30534796,,1
9,32815783,1989,2
18,29548601,,4
20,24354915,1969,8
15,34362109,,2
7,42190018,,6
15,39227259,,7
12,22285724,,5
2,31213547,,4
6,31647097,,6
1,37735236,2021,9
19,32074292,,8
6,44487858,1964,3
11,41632527,,4
11,40501781,1974,5
19,43687417,2002,1
13,40668959,,6
1,31636439,,10
7,42343320,2005,5
10,31992020,,8
14,25942221,,4
2,21288054,,3
5,23829706,2017,8
1,22527025,1980,5
1,43766428,,8
4,23543132,,8
7,43952618,,8
3,24844003,,3
20,23348788,,6
11,24705671,,5
14,41214553,,2
19,20182606,,7
17,30802923,,4
7,37145103,,2
4,30504235,,7
6,26015299,,9
12,35467849,,9
9,23720520,,3
4,24361921,2000,2
6,31206419,2016,4
11,32848364,,5
4,40109767,,4
10,44596392,1961,9
13,43093866,2001,1
1,30890336,,3
1,25127742,1991,6
6,28751090,,8
2,36349879,2011,3
3,42216650,1990,5
2,35765556,,6
4,26484732,,8
15,27115566,,9
2,37652504,,9
2,42242114,,5
19,25413891,1987,1
8,38301342,1980,3
18,44146854,,9
5,33383898,1989,10
15,39256165,,10
20,33426132,,2
2,21642708,1975,3
8,26657554,,4
10,35547213,,10
14,21968472,,9
12,39524808,,5
10,39867061,1971,10
15,31127906,,9
9,25480583,,5
17,36477036,1981,3
20,39187028,,4
17,24570508,2018,6
17,41103625,,8
6,29779762,2017,3
2,31176324,1963,2
18,27173309,1986,4
12,35300069,1966,8
7,23269356,2006,2
2,38445008,,2
19,41202028,,8
16,33400207,,2
9,39081751,,2
1,32356628,,4
15,30495177,,8
6,20531807,,1
8,34524008,,4
14,38083755,,9
5,23452494,1968,4
10,28825046,,5
1,42847547,1981,3
8,33862113,,10
20,31986426,1993,8
20,44559983,,6
10,37989939,,8
18,30531274,,4
10,35120803,,2
19,36826544,,10
2,43988612,,7
6,28633529,,7
17,28263468,2004,9
1,23200975,,4
4,23237240,2014,9
2,29933035,1996,10
8,38884174,1990,2
18,22545862,,3
9,37855849,2001,5
15,21377198,,2
13,30881341,,9
1,42946370,,2
4,35786958,,7
13,26616253,1996,1
2,41267436,,5
1,39484536,,7
16,30301210,,4
18,21689263,,5
11,28523711,2019,2
7,20545239,,6
6,20379822,,3
9,22579974,,8
18,26194484,,9
12,38857048,2019,2
7,30115073,,1
4,30706725,,6
15,36334813,1969,10
2,29257338,,2
1,20301579,,3
4,35198672,,3
6,35091188,,6
4,33414344,,10
12,42779316,,6
3,25120517,,6
5,32490488,,6
13,40733982,,7
17,35017443,,6
7,43824987,,5
13,29425156,,8
16,21830194,1992,5
14,24603989,,1
6,20731658,,9
4,36869015,,1
15,30686705,,5
2,37365895,,4
12,35921814,,5
2,35181134,,8
16,36643474,1997,7
